Video | Codec | Resolution | ProcessingTime_s | Energy_J
sintel.mp4 | av1 | 1280x720 | 20.21s | 276.13J
sintel.mp4 | av1 | 1920x1080 | 41.87s | 582.02J
tearsofsteel.mp4 | av1 | 854x480 | 40.04s | 574.63J
tearsofsteel.mp4 | av1 | 1280x720 | 53.88s | 753.02J
tearsofsteel.mp4 | av1 | 1920x1080 | 98.99s | 1388.36J
wingit.mp4 | av1 | 854x480 | 83.55s | 1197.73J
wingit.mp4 | av1 | 1280x720 | 115.88s | 1638.16J
wingit.mp4 | av1 | 1920x1080 | 193.27s | 2701.51J

glass_half.mp4 | h264 | 854x480 | 48.16s | 691.93J
glass_half.mp4 | h264 | 1280x720 | 78.35s | 1126.05J
glass_half.mp4 | h264 | 1920x1080 | 130.74s | 1863.79J
glass_half.mp4 | h265 | 854x480 | 88.95s | 1221.05J
glass_half.mp4 | h265 | 1280x720 | 152.73s | 2145.65J
glass_half.mp4 | h265 | 1920x1080 | 288.68s | 4032.41J
glass_half.mp4 | vp9 | 854x480 | 408.16s | 4762.12J
glass_half.mp4 | vp9 | 1280x720 | 600.78s | 7942.07J
glass_half.mp4 | vp9 | 1920x1080 | 1088.44s | 14497.99J
sintel.mp4 | h264 | 854x480 | 14.30s | 201.47J
sintel.mp4 | h264 | 1280x720 | 25.18s | 357.07J
sintel.mp4 | h264 | 1920x1080 | 55.46s | 783.93J
sintel.mp4 | h265 | 854x480 | 26.53s | 364.57J
sintel.mp4 | h265 | 1280x720 | 49.23s | 700.90J
sintel.mp4 | h265 | 1920x1080 | 110.03s | 1574.28J
sintel.mp4 | vp9 | 854x480 | 82.06s | 946.14J
sintel.mp4 | vp9 | 1280x720 | 116.23s | 1523.98J
sintel.mp4 | vp9 | 1920x1080 | 223.31s | 2948.59J
tearsofsteel.mp4 | h264 | 854x480 | 41.97s | 597.98J
tearsofsteel.mp4 | h264 | 1280x720 | 77.13s | 1098.05J
tearsofsteel.mp4 | h264 | 1920x1080 | 170.78s | 2429.90J
tearsofsteel.mp4 | h265 | 854x480 | 79.34s | 1122.20J
tearsofsteel.mp4 | h265 | 1280x720 | 154.42s | 2238.75J
tearsofsteel.mp4 | h265 | 1920x1080 | 342.45s | 4990.02J
tearsofsteel.mp4 | vp9 | 854x480 | 284.15s | 3374.29J
tearsofsteel.mp4 | vp9 | 1280x720 | 401.62s | 5442.30J
tearsofsteel.mp4 | vp9 | 1920x1080 | 777.90s | 10586.51J
wingit.mp4 | h264 | 854x480 | 74.15s | 1060.75J
wingit.mp4 | h264 | 1280x720 | 129.70s | 1852.94J
wingit.mp4 | h264 | 1920x1080 | 229.28s | 3253.72J
wingit.mp4 | h265 | 854x480 | 118.28s | 1642.75J
wingit.mp4 | h265 | 1280x720 | 214.84s | 3034.44J
wingit.mp4 | h265 | 1920x1080 | 426.57s | 5992.76J
wingit.mp4 | vp9 | 854x480 | 514.34s | 6073.16J
wingit.mp4 | vp9 | 1280x720 | 760.32s | 10183.87J
glass_half.mp4 | av1 | 854x480 | 68.84s | 969.78J
glass_half.mp4 | av1 | 1280x720 | 93.74s | 1308.17J
glass_half.mp4 | av1 | 1920x1080 | 153.94s | 2126.72J
sintel.mp4 | av1 | 854x480 | 13.61s | 191.90J
sintel.mp4 | av1 | 1280x720 | 20.21s | 276.64J
sintel.mp4 | av1 | 1920x1080 | 41.58s | 579.23J
tearsofsteel.mp4 | av1 | 854x480 | 40.04s | 574.50J
tearsofsteel.mp4 | av1 | 1280x720 | 54.34s | 757.18J
tearsofsteel.mp4 | av1 | 1920x1080 | 98.77s | 1382.11J
wingit.mp4 | av1 | 854x480 | 83.65s | 1197.75J
wingit.mp4 | av1 | 1280x720 | 116.69s | 1649.13J
wingit.mp4 | av1 | 1920x1080 | 193.54s | 2698.10J

glass_half.mp4 | h264 | 854x480 | 48.21s | 694.56J
glass_half.mp4 | h264 | 1280x720 | 78.54s | 1127.72J
glass_half.mp4 | h264 | 1920x1080 | 130.28s | 1859.33J
glass_half.mp4 | h265 | 854x480 | 88.89s | 1219.38J
glass_half.mp4 | h265 | 1280x720 | 152.86s | 2145.66J
glass_half.mp4 | h265 | 1920x1080 | 288.68s | 4026.57J
glass_half.mp4 | vp9 | 854x480 | 408.96s | 4757.90J
glass_half.mp4 | vp9 | 1280x720 | 601.65s | 7945.26J
glass_half.mp4 | vp9 | 1920x1080 | 1087.09s | 14461.38J
sintel.mp4 | h264 | 854x480 | 14.31s | 201.38J
sintel.mp4 | h264 | 1280x720 | 25.15s | 357.26J
sintel.mp4 | h264 | 1920x1080 | 55.54s | 782.42J
sintel.mp4 | h265 | 854x480 | 26.56s | 364.60J
sintel.mp4 | h265 | 1280x720 | 49.25s | 701.33J
sintel.mp4 | h265 | 1920x1080 | 110.22s | 1576.78J
sintel.mp4 | vp9 | 854x480 | 82.00s | 946.42J
sintel.mp4 | vp9 | 1280x720 | 116.34s | 1526.00J
sintel.mp4 | vp9 | 1920x1080 | 222.14s | 2936.91J
tearsofsteel.mp4 | h264 | 854x480 | 41.96s | 597.15J
tearsofsteel.mp4 | h264 | 1280x720 | 77.05s | 1095.58J
tearsofsteel.mp4 | h264 | 1920x1080 | 170.46s | 2421.96J
tearsofsteel.mp4 | h265 | 854x480 | 79.40s | 1120.56J
tearsofsteel.mp4 | h265 | 1280x720 | 154.43s | 2237.94J
tearsofsteel.mp4 | h265 | 1920x1080 | 343.22s | 4986.13J
tearsofsteel.mp4 | vp9 | 854x480 | 285.22s | 3370.32J
tearsofsteel.mp4 | vp9 | 1280x720 | 402.92s | 5450.97J
tearsofsteel.mp4 | vp9 | 1920x1080 | 777.84s | 10597.32J
wingit.mp4 | h264 | 854x480 | 73.97s | 1056.95J
